Student Name,Attendance %,Internal Marks,Final Marks,Assignment Scores,Extra Activities,Family Income,Internet Access,Study Hours,Placement Status,Average Score,Risk Category,Performance_Level
David Walker,88.8,84,80,83,Debate,45102.0,Yes,6.8,Placed,82.33333333333333,safe,Good
Robert Taylor,70.8,63,68,98,Music,60327.0,No,5.4,Placed,76.33333333333333,safe,Good
Charles Sanchez,80.0,56,55,69,Debate,53803.0,Yes,3.4,Not Placed,60.0,safe,Average
Edward Nguyen,98.8,52,71,46,Volunteer,93863.0,No,3.9,Placed,56.333333333333336,Need Improvement,Average
Mary Perez,88.0,100,88,100,Sports,62769.0,No,8.4,Placed,96.0,safe,Excellent
Karen Sanchez,92.1,73,79,77,Sports,91830.0,Yes,6.2,Placed,76.33333333333333,safe,Good
Charles Thompson,80.3,82,91,95,Debate,57389.0,Yes,8.6,Placed,89.33333333333333,safe,Excellent
Michelle Scott,78.3,65,65,55,Sports,27432.0,Yes,2.7,Placed,61.666666666666664,safe,Average
Anthony Thompson,76.8,54,38,41,Debate,46457.0,Yes,2.9,Not Placed,44.333333333333336,Need Improvement,Poor
Angela Harris,80.5,74,89,95,Debate,74916.0,Yes,8.1,Placed,86.0,safe,Excellent
Nancy Robinson,73.0,56,54,59,Music,40254.0,Yes,5.0,Not Placed,56.333333333333336,Need Improvement,Average
Laura Brown,83.7,65,82,88,Sports,55154.0,No,5.8,Placed,78.33333333333333,safe,Good
William Thompson,73.1,35,52,61,Sports,85295.0,No,3.2,Not Placed,49.333333333333336,Need Improvement,Poor
William Smith,100.0,71,67,72,NCC,17680.0,Yes,6.1,Placed,70.0,safe,Good
Joseph Brown,78.1,58,78,83,NCC,61345.0,Yes,6.4,Placed,73.0,safe,Good
Joseph Lopez,73.6,67,61,77,Sports,88888.0,Yes,6.7,Placed,68.33333333333333,safe,Average
Linda Miller,84.1,48,70,100,Volunteer,61508.0,No,6.7,Placed,72.66666666666667,safe,Good
Betty Robinson,83.3,70,62,53,Sports,65698.0,Yes,4.7,Placed,61.666666666666664,safe,Average
Robert Nguyen,94.1,66,68,81,Debate,73831.0,No,6.3,Placed,71.66666666666667,safe,Good
John Davis,100.0,73,87,77,Sports,97208.0,Yes,7.3,Placed,79.0,safe,Good
Kenneth Taylor,78.7,37,70,47,Music,109507.0,No,2.5,Not Placed,51.333333333333336,Need Improvement,Average
Donald Garcia,80.2,51,62,67,Sports,64702.0,Yes,5.0,Placed,60.0,safe,Average
Mary Smith,87.7,56,53,80,Sports,60516.0,No,6.3,Not Placed,63.0,safe,Average
Amanda Hill,88.6,83,80,86,Volunteer,97778.0,Yes,6.8,Placed,83.0,safe,Good
Sarah Flores,91.5,35,43,20,Sports,71864.0,Yes,1.0,Not Placed,32.666666666666664,At risk,Poor
Jessica King,74.0,71,82,77,Debate,25171.0,No,6.9,Placed,76.66666666666667,safe,Good
Michael Perez,70.8,25,38,31,Sports,77966.0,Yes,2.0,Not Placed,31.333333333333332,At risk,Poor
Matthew Nguyen,85.7,91,91,100,NCC,64557.0,Yes,9.8,Placed,94.0,safe,Excellent
Laura Johnson,65.2,53,68,88,Music,79121.0,Yes,6.7,Placed,69.66666666666667,safe,Average
Kimberly Clark,100.0,85,100,97,Volunteer,48805.0,Yes,6.3,Placed,94.0,safe,Excellent
John Jones,63.1,57,62,89,NCC,30829.0,No,5.6,Placed,69.33333333333333,safe,Average
Andrew Thompson,66.6,32,37,34,Music,60854.0,No,2.9,Not Placed,34.333333333333336,At risk,Poor
Elizabeth King,78.2,40,0,65,Sports,119555.0,Yes,3.5,Placed,35.0,At risk,Poor
Gary Robinson,82.1,54,58,54,Volunteer,99104.0,Yes,4.4,Not Placed,55.333333333333336,Need Improvement,Average
Elizabeth Ramirez,81.4,76,90,91,Volunteer,67602.0,No,8.1,Placed,85.66666666666667,safe,Excellent
Michael Gonzalez,73.3,57,75,91,Sports,64702.0,Yes,7.4,Placed,74.33333333333333,safe,Good
Cynthia Miller,74.9,77,83,100,NCC,75921.0,Yes,8.3,Placed,86.66666666666667,safe,Excellent
Richard Thomas,86.3,54,58,71,Debate,56348.0,Yes,4.7,Not Placed,61.0,safe,Average
Paul Flores,89.8,43,45,59,Music,64702.0,Yes,3.6,Not Placed,49.0,Need Improvement,Poor
Kenneth Perez,76.3,74,77,100,NCC,97344.0,Yes,10.0,Placed,83.66666666666667,safe,Good
Karen Miller,95.4,55,75,92,Music,14058.0,No,6.1,Placed,74.0,safe,Good
Kimberly King,88.4,71,66,75,NCC,21860.0,Yes,5.6,Placed,70.66666666666667,safe,Good
Joseph Rodriguez,70.6,7,22,31,NCC,88459.0,No,1.8,Not Placed,20.0,At risk,Poor
Brian Anderson,100.0,82,84,98,NCC,49660.0,No,7.2,Placed,88.0,safe,Excellent
Amanda Allen,88.9,61,0,57,Sports,111831.0,No,4.1,Not Placed,39.333333333333336,At risk,Poor
Robert Young,66.2,37,43,56,Sports,64702.0,Yes,2.1,Not Placed,45.333333333333336,Need Improvement,Poor
Betty Johnson,87.5,57,60,64,Sports,46198.0,Yes,5.2,Placed,60.333333333333336,safe,Average
Brian Anderson,83.3,44,59,55,Music,64702.0,No,4.7,Not Placed,52.666666666666664,Need Improvement,Average
Matthew Moore,69.4,43,50,44,Music,85449.0,No,3.2,Not Placed,45.666666666666664,Need Improvement,Poor
Joseph Clark,100.0,57,62,98,Volunteer,10492.0,No,9.9,Placed,72.33333333333333,safe,Good
John Lee,44.7,11,38,55,Music,55128.0,No,1.0,Not Placed,34.666666666666664,At risk,Poor
John Clark,90.5,64,69,62,NCC,49334.0,Yes,3.4,Placed,65.0,safe,Average
Deborah Jones,98.2,52,68,61,Music,38276.0,No,2.6,Placed,60.333333333333336,safe,Average
Brian Sanchez,75.2,41,50,62,Sports,82163.0,No,4.2,Not Placed,51.0,Need Improvement,Average
Deborah Gonzalez,99.7,63,78,73,Music,18404.0,No,3.3,Placed,71.33333333333333,safe,Good
Michael Martin,65.3,63,70,90,Music,64702.0,No,7.5,Placed,74.33333333333333,safe,Good
Elizabeth Jackson,67.1,52,59,58,Volunteer,71787.0,Yes,4.4,Not Placed,56.333333333333336,Need Improvement,Average
Linda Brown,100.0,61,90,53,Volunteer,67359.0,Yes,2.2,Placed,68.0,safe,Average
James Martin,91.6,77,82,87,Debate,71813.0,Yes,5.3,Placed,82.0,safe,Good
Patricia Jackson,80.0,37,41,38,Sports,98842.0,Yes,1.6,Not Placed,38.666666666666664,At risk,Poor
Kenneth Lewis,74.9,53,64,100,Volunteer,64202.0,Yes,10.0,Placed,72.33333333333333,safe,Good
Paul Sanchez,85.8,73,80,74,Volunteer,37657.0,No,5.8,Placed,75.66666666666667,safe,Good
Kenneth White,66.7,65,80,81,NCC,88587.0,Yes,5.8,Not Placed,75.33333333333333,safe,Good
George Taylor,91.9,93,80,100,Debate,65105.0,Yes,9.3,Placed,91.0,safe,Excellent
Jacob Lewis,100.0,70,76,78,Debate,21944.0,No,4.9,Placed,74.66666666666667,safe,Good
Carol Lopez,100.0,51,58,62,Debate,80155.0,Yes,4.4,Not Placed,57.0,Need Improvement,Average
Sarah White,63.4,46,59,56,NCC,51386.0,Yes,4.1,Not Placed,53.666666666666664,Need Improvement,Average
Ronald Martin,92.7,31,45,31,Music,65954.0,Yes,1.7,Not Placed,35.666666666666664,At risk,Poor
Ronald Brown,75.2,50,48,42,Music,53659.0,Yes,3.7,Not Placed,46.666666666666664,Need Improvement,Poor
Elizabeth Flores,64.3,36,47,39,Debate,91606.0,Yes,1.6,Not Placed,40.666666666666664,Need Improvement,Poor
Lisa Gonzalez,64.4,62,62,73,Debate,85218.0,Yes,5.3,Placed,65.66666666666667,safe,Average
David Sanchez,85.3,57,78,64,Debate,85478.0,Yes,4.6,Placed,66.33333333333333,safe,Average
Carol Brown,76.2,70,72,87,Volunteer,87899.0,Yes,8.8,Placed,76.33333333333333,safe,Good
Matthew Clark,98.7,75,72,65,Music,43457.0,No,5.8,Placed,70.66666666666667,safe,Good
Elizabeth Moore,81.8,43,46,68,Music,45262.0,No,5.1,Not Placed,52.333333333333336,Need Improvement,Average
Joseph Williams,64.4,79,85,100,Debate,104424.0,No,9.5,Placed,88.0,safe,Excellent
Joseph Sanchez,76.2,63,90,77,Sports,38575.0,Yes,6.2,Placed,76.66666666666667,safe,Good
Kenneth Lee,79.5,38,56,51,Volunteer,50867.0,No,1.5,Not Placed,48.333333333333336,Need Improvement,Poor
Emily Davis,84.3,39,55,79,Volunteer,117386.0,Yes,4.1,Not Placed,57.666666666666664,Need Improvement,Average
Anthony Walker,87.3,75,68,80,NCC,36113.0,No,6.2,Placed,74.33333333333333,safe,Good
Stephanie Rodriguez,82.4,74,83,86,Sports,97464.0,Yes,7.3,Placed,81.0,safe,Good
George Lee,81.2,38,61,86,NCC,47620.0,Yes,4.8,Placed,61.666666666666664,safe,Average
Stephanie Allen,78.1,48,73,89,Debate,105029.0,Yes,5.1,Placed,70.0,safe,Good
Andrew Allen,79.3,35,57,33,Sports,23939.0,Yes,1.4,Not Placed,41.666666666666664,Need Improvement,Poor
Nancy Robinson,52.1,60,52,72,Music,45382.0,Yes,3.7,Not Placed,61.333333333333336,safe,Average
Andrew Thomas,80.2,75,76,87,Debate,80957.0,Yes,7.9,Placed,79.33333333333333,safe,Good
Elizabeth Anderson,74.5,72,85,100,Sports,64702.0,Yes,10.0,Placed,85.66666666666667,safe,Excellent
Patricia Johnson,89.4,48,72,68,Sports,73978.0,No,4.4,Placed,62.666666666666664,safe,Average
Steven Lewis,74.8,54,70,79,Debate,58145.0,Yes,6.9,Placed,67.66666666666667,safe,Average
Lisa White,83.3,79,73,100,Music,67422.0,Yes,7.8,Placed,84.0,safe,Good
Joseph Torres,69.4,54,47,67,Sports,61294.0,Yes,4.2,Not Placed,56.0,Need Improvement,Average
Nicholas Allen,81.3,60,68,75,Volunteer,85294.0,No,6.7,Placed,67.66666666666667,safe,Average
Ryan Smith,84.1,47,59,82,Volunteer,64702.0,No,5.4,Not Placed,62.666666666666664,safe,Average
Kenneth Robinson,88.9,52,90,62,Debate,35926.0,No,4.2,Placed,68.0,safe,Average
Ryan Torres,75.0,44,39,33,Sports,33278.0,Yes,2.6,Not Placed,38.666666666666664,At risk,Poor
William Anderson,88.2,56,72,48,NCC,70038.0,Yes,1.6,Placed,58.666666666666664,Need Improvement,Average
Kimberly Moore,75.0,57,51,54,Sports,58362.0,No,4.8,Not Placed,54.0,Need Improvement,Average
Angela Jackson,68.3,41,44,73,NCC,86297.0,Yes,4.2,Not Placed,52.666666666666664,Need Improvement,Average
Michael Harris,85.8,66,73,72,Volunteer,83740.0,Yes,7.0,Placed,70.33333333333333,safe,Good
Brian Perez,87.6,74,64,72,Sports,63019.0,Yes,6.6,Placed,70.0,safe,Good
Donna Anderson,82.9,76,86,100,NCC,44017.0,Yes,9.7,Placed,87.33333333333333,safe,Excellent
Anthony Harris,73.0,47,47,83,Debate,45553.0,No,6.7,Not Placed,59.0,Need Improvement,Average
William Wright,82.1,46,46,42,NCC,79359.0,Yes,3.0,Not Placed,44.666666666666664,Need Improvement,Poor
Joshua Young,90.7,65,75,64,Sports,74700.0,No,5.1,Placed,68.0,safe,Average
George Gonzalez,61.5,38,52,83,Volunteer,97872.0,No,5.4,Not Placed,57.666666666666664,Need Improvement,Average
Daniel Jones,78.2,47,57,54,NCC,105048.0,Yes,2.7,Not Placed,52.666666666666664,Need Improvement,Average
Cynthia Jones,67.2,62,69,82,Sports,92658.0,No,6.6,Placed,71.0,safe,Good
George Allen,80.0,62,67,89,Volunteer,34185.0,Yes,7.6,Placed,72.66666666666667,safe,Good
Kevin Taylor,100.0,46,60,61,Sports,64702.0,No,4.4,Placed,55.666666666666664,Need Improvement,Average
Sarah Walker,75.6,77,87,95,Volunteer,56413.0,No,6.7,Placed,86.33333333333333,safe,Excellent
Karen Allen,83.5,54,56,54,Music,79808.0,Yes,4.2,Not Placed,54.666666666666664,Need Improvement,Average
Susan Lee,77.6,60,0,62,Sports,58360.0,No,6.0,Not Placed,40.666666666666664,Need Improvement,Poor
Michelle Lee,80.0,52,55,45,Debate,47926.0,No,3.3,Not Placed,50.666666666666664,Need Improvement,Average
Nancy Clark,98.9,71,84,73,Volunteer,63647.0,No,5.4,Placed,76.0,safe,Good
Kevin Robinson,80.9,58,57,91,Music,125606.0,Yes,6.6,Not Placed,68.66666666666667,safe,Average
Mark Taylor,73.7,59,45,76,NCC,89473.0,Yes,6.8,Not Placed,60.0,safe,Average
Stephanie Wilson,68.4,49,53,60,Sports,101947.0,No,5.1,Not Placed,54.0,Need Improvement,Average
Sarah Allen,77.1,70,73,73,Sports,46060.0,Yes,5.1,Placed,72.0,safe,Good
Nancy Lewis,76.4,70,80,99,Sports,84620.0,Yes,6.3,Placed,83.0,safe,Good
Rebecca Thomas,92.5,50,53,54,Music,78763.0,Yes,3.2,Not Placed,52.333333333333336,Need Improvement,Average
Edward White,92.6,35,59,57,NCC,64702.0,No,3.4,Not Placed,50.333333333333336,Need Improvement,Average
Robert Smith,86.4,64,57,70,Volunteer,73885.0,Yes,5.2,Not Placed,63.666666666666664,safe,Average
Steven Harris,100.0,54,69,61,Music,87922.0,Yes,4.6,Placed,61.333333333333336,safe,Average
Michelle Scott,59.6,57,82,98,Debate,64702.0,No,6.1,Placed,79.0,safe,Good
Ronald Garcia,93.8,60,67,67,Sports,117536.0,Yes,5.6,Placed,64.66666666666667,safe,Average
Patricia Robinson,80.0,67,80,58,Music,8000.0,No,4.9,Placed,68.33333333333333,safe,Average
Sarah Young,78.1,59,67,86,Volunteer,91650.0,Yes,6.5,Placed,70.66666666666667,safe,Good
Emily Jones,83.3,39,62,38,Volunteer,13872.0,No,1.5,Placed,46.333333333333336,Need Improvement,Poor
Rebecca Harris,60.5,38,75,73,Sports,64872.0,Yes,4.0,Placed,62.0,safe,Average
Robert Torres,74.3,59,67,88,NCC,43258.0,Yes,5.8,Placed,71.33333333333333,safe,Good
Kimberly Scott,79.0,30,47,40,Sports,46646.0,No,2.8,Not Placed,39.0,At risk,Poor
Sandra Lee,84.2,42,53,57,Sports,45099.0,Yes,4.9,Not Placed,50.666666666666664,Need Improvement,Average
Ashley Clark,80.8,39,48,62,NCC,48228.0,No,2.9,Not Placed,49.666666666666664,Need Improvement,Poor
Edward Thomas,83.4,59,57,69,Music,64919.0,Yes,4.8,Not Placed,61.666666666666664,safe,Average
William Johnson,77.6,62,80,80,Volunteer,62036.0,Yes,6.6,Placed,74.0,safe,Good
Cynthia Gonzalez,92.1,98,92,100,Sports,51968.0,Yes,9.8,Placed,96.66666666666667,safe,Excellent
Michelle Ramirez,74.2,59,53,54,NCC,138041.0,Yes,3.0,Not Placed,55.333333333333336,Need Improvement,Average
Jennifer King,80.0,52,64,60,Debate,47298.0,No,4.9,Placed,58.666666666666664,Need Improvement,Average
Jessica Flores,73.3,36,50,80,Sports,104669.0,Yes,3.8,Not Placed,55.333333333333336,Need Improvement,Average
Cynthia Garcia,100.0,86,84,100,Sports,82268.0,Yes,9.8,Placed,90.0,safe,Excellent
Karen Moore,82.3,61,46,59,Music,8000.0,Yes,5.1,Not Placed,55.333333333333336,Need Improvement,Average
John Taylor,75.3,64,70,79,Sports,71139.0,Yes,7.8,Placed,71.0,safe,Good
Gary Taylor,70.6,48,41,39,Volunteer,82870.0,Yes,4.1,Not Placed,42.666666666666664,Need Improvement,Poor
Kenneth Hernandez,56.7,80,88,80,Music,91559.0,Yes,7.0,Placed,82.66666666666667,safe,Good
Karen Hill,68.3,62,80,100,Sports,52518.0,No,7.2,Placed,80.66666666666667,safe,Good
Richard Miller,68.3,61,72,99,Debate,26394.0,Yes,6.4,Placed,77.33333333333333,safe,Good
James Jones,72.4,49,63,79,NCC,54951.0,No,6.2,Placed,63.666666666666664,safe,Average
Andrew Williams,90.6,54,65,79,NCC,71276.0,No,6.7,Placed,66.0,safe,Average
Joseph Sanchez,84.8,59,0,65,Music,68475.0,No,4.8,Placed,41.333333333333336,Need Improvement,Poor
Carol Miller,94.5,69,99,96,Debate,53081.0,Yes,7.8,Placed,88.0,safe,Excellent
Emma Jones,75.8,67,82,82,Sports,38738.0,Yes,5.6,Placed,77.0,safe,Good
Betty Garcia,63.9,60,68,95,Music,56299.0,Yes,6.4,Placed,74.33333333333333,safe,Good
Anthony White,93.0,58,59,56,Debate,39986.0,Yes,3.5,Not Placed,57.666666666666664,Need Improvement,Average
Kenneth Clark,80.0,43,48,52,Sports,65781.0,Yes,5.6,Not Placed,47.666666666666664,Need Improvement,Poor
Nicholas Robinson,73.7,63,74,91,Debate,91798.0,Yes,7.3,Placed,76.0,safe,Good
Robert Thompson,74.4,80,91,71,NCC,106374.0,Yes,6.3,Placed,80.66666666666667,safe,Good
Kimberly Wright,72.9,60,66,75,Debate,46655.0,Yes,5.2,Placed,67.0,safe,Average
Emma Lopez,69.8,62,61,74,Debate,50450.0,Yes,5.3,Placed,65.66666666666667,safe,Average
Mary Nguyen,70.7,43,55,68,Sports,87253.0,No,4.7,Not Placed,55.333333333333336,Need Improvement,Average
Gary Hernandez,79.7,51,43,75,NCC,50955.0,No,4.5,Not Placed,56.333333333333336,Need Improvement,Average
Joshua Lopez,77.7,60,77,83,Debate,65869.0,Yes,7.3,Placed,73.33333333333333,safe,Good
Carol Johnson,77.8,64,60,83,Music,89629.0,Yes,7.1,Placed,69.0,safe,Average
Donald Hill,84.3,43,54,30,Volunteer,97927.0,Yes,1.0,Not Placed,42.333333333333336,Need Improvement,Poor
Carol Walker,71.5,56,77,81,Music,64702.0,Yes,4.7,Placed,71.33333333333333,safe,Good
Matthew Young,72.3,47,50,78,Volunteer,113159.0,No,5.6,Not Placed,58.333333333333336,Need Improvement,Average
Stephanie Allen,86.9,74,84,91,Sports,30242.0,Yes,7.8,Placed,83.0,safe,Good
Steven Martin,60.8,95,70,100,Debate,58544.0,Yes,10.0,Placed,88.33333333333333,safe,Excellent
Jennifer Scott,85.9,52,70,59,Music,32494.0,No,5.2,Placed,60.333333333333336,safe,Average
John Thomas,81.1,35,58,90,Sports,54957.0,Yes,6.0,Not Placed,61.0,safe,Average
Jessica Moore,73.5,46,58,58,Sports,140118.0,Yes,3.1,Not Placed,54.0,Need Improvement,Average
Patricia Lewis,86.4,70,81,86,Music,47965.0,Yes,6.9,Placed,79.0,safe,Good
Jennifer Gonzalez,96.3,48,57,60,Sports,8000.0,Yes,5.1,Not Placed,55.0,Need Improvement,Average
Steven King,82.0,69,71,85,Debate,57332.0,Yes,6.1,Placed,75.0,safe,Good
Joshua Lopez,85.2,71,72,77,Sports,121124.0,Yes,6.4,Placed,73.33333333333333,safe,Good
Donald Scott,71.8,80,79,93,Volunteer,64702.0,Yes,7.8,Placed,84.0,safe,Good
